sample_id,text,image_path,label,source,split
dgm4_1025625,Angela Merkel Alexis Tsipras and Francois Hollande talk at the eurozone leaders summit in Brussels France and Germany have been split over their approach to the eurozone crisis,data/raw/DGM4/origin/guardian/0634/303.jpg,0,DGM4_origin,train
dgm4_410707,Game 1 in Oklahoma City Thunder 108 Mavericks 70 Thunder forward Kevin Durant drives to the basket against Mavs defender Charlie Villanueva,data/raw/DGM4/origin/usa_today/0427/289.jpg,0,DGM4_origin,train
dgm4_1447619,Birdman is being rolled out across more US cinemas in the wake of its best picture win,data/raw/DGM4/origin/bbc/0051/138.jpg,0,DGM4_origin,train
dgm4_762422,Silvio Berlusconi Dmitry Medvedev and Vladimir Putin pose for a photo aboard a passenger jet The Italian PM reportedly laughed at the Wikileaks revelations Putin accused the US of slander,data/raw/DGM4/origin/guardian/0567/971.jpg,0,DGM4_origin,test
dgm4_506243,Prince Edward arriving at Westminster Abbey happily waving to the crowd before the VE Day memorial service,data/raw/DGM4/origin/guardian/0215/858.jpg,0,DGM4_origin,test
dgm4_803983,Documents from 2006 when Brown was keen for Blair to name his departure date suggest Treasury officials wanted spending reined in,data/raw/DGM4/origin/guardian/0409/706.jpg,0,DGM4_origin,train
dgm4_969616,Laura Bush whispers to Condoleezza Rice as they watch George W Bush during a 2003 press conference,data/raw/DGM4/origin/guardian/0188/888.jpg,0,DGM4_origin,train
dgm4_716146,Upstairs meets downstairs the Downton Abbey cast in modernday dress,data/raw/DGM4/origin/guardian/0543/772.jpg,0,DGM4_origin,train
dgm4_756484,Disabled people are nine times more likely than the average person to have been affected by welfare cuts,data/raw/DGM4/origin/guardian/0572/649.jpg,0,DGM4_origin,train
dgm4_356243,Kathryn Bigelow director of Zero Dark Thirty said on the red carpet I tried to be very Zen this morning,data/raw/DGM4/origin/usa_today/0601/855.jpg,0,DGM4_origin,val
dgm4_1533718,Rape crimes have caused outrage and widespread protests in India in recent years,data/raw/DGM4/origin/bbc/0209/523.jpg,0,DGM4_origin,train
dgm4_359285,Sharon Carter and Everett K Ross are supporting players in Captain America Civil War,data/raw/DGM4/origin/usa_today/0412/451.jpg,0,DGM4_origin,train
dgm4_668482,Models wearing designs by Kanye West for Paris fashion week,data/raw/DGM4/origin/guardian/0375/575.jpg,0,DGM4_origin,val
dgm4_1649658,The US says that the islands fall within its security treaty with Japan,data/raw/DGM4/origin/bbc/0527/000.jpg,0,DGM4_origin,test
dgm4_697118,Sir Frederick left and Sir David Barclay s raid on Coroin was followed by a string of lawsuits around the world,data/raw/DGM4/origin/guardian/0507/741.jpg,0,DGM4_origin,train
dgm4_1159341,Falcon Heene outside his home after he was found in the attic after fears he was lost in a weather balloon,data/raw/DGM4/origin/guardian/0774/187.jpg,0,DGM4_origin,train
dgm4_258939,The legendary David Bowie lost his battle to cancer just days after his 69th birthday Here are 5 facts about the musician that might surprise you,data/raw/DGM4/origin/usa_today/0155/803.jpg,0,DGM4_origin,train
dgm4_1516073,Queen Vic landlords past Clockwise Den Watts Frank Butcher Alfie Moon Grant Mitchell,data/raw/DGM4/origin/bbc/0170/990.jpg,0,DGM4_origin,test
dgm4_980771,The Smilehigh club the Beach Boys harmonise in the studio,data/raw/DGM4/origin/guardian/0185/498.jpg,0,DGM4_origin,train
dgm4_1011423,Michel Vorm and Tim Krul have been outstanding for their sides this season On Saturday they go headtohead at St James Park,data/raw/DGM4/origin/guardian/0624/423.jpg,0,DGM4_origin,train
dgm4_368327,Summary Encouraging housing data lifts S P to new record HP shares jump after job cut news Aeropostale s big miss Bobbi Rebell reports Video provided by Reuters,data/raw/DGM4/origin/usa_today/0524/063.jpg,0,DGM4_origin,train
dgm4_1518004,Sixyearold Toby Sadler and his mother Bryony had to move their chickens from approaching waters on their farm on the Somerset Levels,data/raw/DGM4/origin/bbc/0154/846.jpg,0,DGM4_origin,val
dgm4_767168,I think for a long time I d been rejecting the idea that I was grieving Hannah Moss and her father Mike,data/raw/DGM4/origin/guardian/0575/454.jpg,0,DGM4_origin,train
dgm4_739281,London socialites Lucy and David Tang,data/raw/DGM4/origin/guardian/0537/099.jpg,0,DGM4_origin,val
dgm4_963914,David Cameron with Brookside and Hollyoaks creator Phil Redmond We have to ask ourselves if the big society really is simply a cover for cuts said the Bishop of Oxford,data/raw/DGM4/origin/guardian/0175/036.jpg,0,DGM4_origin,train
dgm4_1021836,Lara Croft is to be played by British actor Camilla Luddington in the new Tomb Raider,data/raw/DGM4/origin/guardian/0645/826.jpg,0,DGM4_origin,train
dgm4_1166174,Standing tall Quentin Tarantino is honoured with a star on the Hollywood walk of fame on Monday,data/raw/DGM4/origin/guardian/0788/436.jpg,0,DGM4_origin,test
dgm4_488608,Kenya s Pamela Jelimo and South Africa s Caster Semenya hold their race bibs on the eve of their Ostrava 800m race,data/raw/DGM4/origin/guardian/0844/136.jpg,0,DGM4_origin,train
dgm4_221054,Sony s Music Unlimited offers instant access to more than 25 million commercialfree songs,data/raw/DGM4/origin/usa_today/0539/623.jpg,0,DGM4_origin,train
dgm4_1202991,David Gunn leaves court in Brisbane,data/raw/DGM4/origin/guardian/0023/874.jpg,0,DGM4_origin,test
dgm4_287673,Spain s Rafael CabreraBello lines his putt on the second green with his caddie Michael Battie,data/raw/DGM4/origin/usa_today/0507/356.jpg,0,DGM4_origin,train
dgm4_172022,Jon Stewart appeared with Bill OReilly in September on The OReilly Factor,data/raw/DGM4/origin/washington_post/0330/978.jpg,0,DGM4_origin,train
dgm4_577049,Same again repeated image of Eleanor Catton,data/raw/DGM4/origin/guardian/0296/156.jpg,0,DGM4_origin,train
dgm4_132590,Mistress Ji Yingnan and her lover Fan Yue the deputy director of policy and regulation under the State Archives Administration pose in front of the the Great Wall of China,data/raw/DGM4/origin/washington_post/0472/700.jpg,0,DGM4_origin,train
dgm4_792939,Barack Obama talks to Vladimir Putin during a break of the G20 summit working session in Antalya Turkey on Sunday,data/raw/DGM4/origin/guardian/0413/125.jpg,0,DGM4_origin,train
dgm4_673087,Sylvia and Donald Collard whose children were taken away from them,data/raw/DGM4/origin/guardian/0376/706.jpg,0,DGM4_origin,train
dgm4_1007592,William Hague happy and keen to amuse on an earlier day in his Westminster career,data/raw/DGM4/origin/guardian/0623/452.jpg,0,DGM4_origin,train
dgm4_1626019,Narayan Survaiya s mother Tizuja Bai died several weeks after being given new drugs,data/raw/DGM4/origin/bbc/0386/125.jpg,0,DGM4_origin,train
dgm4_1223326,Dawn Nguyen was arrested on Friday,data/raw/DGM4/origin/guardian/0042/055.jpg,0,DGM4_origin,train
dgm4_534239,Win or bust Cameron Mackintosh at London s Novello theatre where his new musical Betty Blue Eyes opens this week,data/raw/DGM4/origin/guardian/0247/942.jpg,0,DGM4_origin,train
dgm4_250427,Stephen Thompson celebrates his TKO win over Robert Whittaker,data/raw/DGM4/origin/usa_today/0173/436.jpg,0,DGM4_origin,train
dgm4_234908,Egyptians celebrate after Egypt s chief justice Adly Mansour is sworn in as the nation s interim president on July 4,data/raw/DGM4/origin/usa_today/0301/821.jpg,0,DGM4_origin,train
dgm4_677554,Some particularly festivelooking sourdough and gourds,data/raw/DGM4/origin/guardian/0384/081.jpg,0,DGM4_origin,train
dgm4_753186,That s not the real Roberto Martinez by the way,data/raw/DGM4/origin/guardian/0559/365.jpg,0,DGM4_origin,val
